Age_Numeric,Age
6,55-64 years old
4,35-44 years old
4,35-44 years old
1,Under 18 years old
4,35-44 years old
5,45-54 years old
5,45-54 years old
5,45-54 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
6,55-64 years old
4,35-44 years old
7,65 years or older
4,35-44 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
6,55-64 years old
5,45-54 years old
2,18-24 years old
2,18-24 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
6,55-64 years old
5,45-54 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
6,55-64 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
1,Under 18 years old
6,55-64 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
5,45-54 years old
8,Prefer not to say
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
7,65 years or older
4,35-44 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
5,45-54 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
5,45-54 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
6,55-64 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
5,45-54 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
5,45-54 years old
3,25-34 years old
5,45-54 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
6,55-64 years old
5,45-54 years old
4,35-44 years old
2,18-24 years old
7,65 years or older
3,25-34 years old
2,18-24 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
2,18-24 years old
3,25-34 years old
1,Under 18 years old
2,18-24 years old
4,35-44 years old
1,Under 18 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
1,Under 18 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
3,25-34 years old
7,65 years or older
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
6,55-64 years old
2,18-24 years old
2,18-24 years old
5,45-54 years old
3,25-34 years old
5,45-54 years old
2,18-24 years old
4,35-44 years old
6,55-64 years old
2,18-24 years old
6,55-64 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
7,65 years or older
4,35-44 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
2,18-24 years old
8,Prefer not to say
5,45-54 years old
4,35-44 years old
6,55-64 years old
2,18-24 years old
5,45-54 years old
5,45-54 years old
4,35-44 years old
5,45-54 years old
1,Under 18 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
5,45-54 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
5,45-54 years old
4,35-44 years old
6,55-64 years old
4,35-44 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
5,45-54 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
6,55-64 years old
3,25-34 years old
2,18-24 years old
2,18-24 years old
2,18-24 years old
3,25-34 years old
6,55-64 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
5,45-54 years old
2,18-24 years old
2,18-24 years old
5,45-54 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
6,55-64 years old
6,55-64 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
6,55-64 years old
5,45-54 years old
4,35-44 years old
2,18-24 years old
1,Under 18 years old
4,35-44 years old
7,65 years or older
4,35-44 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
3,25-34 years old
5,45-54 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
2,18-24 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
5,45-54 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
2,18-24 years old
5,45-54 years old
2,18-24 years old
2,18-24 years old
3,25-34 years old
7,65 years or older
5,45-54 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
5,45-54 years old
3,25-34 years old
8,Prefer not to say
6,55-64 years old
5,45-54 years old
2,18-24 years old
4,35-44 years old
6,55-64 years old
1,Under 18 years old
3,25-34 years old
6,55-64 years old
4,35-44 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
7,65 years or older
2,18-24 years old
4,35-44 years old
8,Prefer not to say
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
5,45-54 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
2,18-24 years old
5,45-54 years old
2,18-24 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
6,55-64 years old
7,65 years or older
4,35-44 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
5,45-54 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
7,65 years or older
2,18-24 years old
2,18-24 years old
2,18-24 years old
6,55-64 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
2,18-24 years old
2,18-24 years old
4,35-44 years old
5,45-54 years old
1,Under 18 years old
3,25-34 years old
5,45-54 years old
1,Under 18 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
6,55-64 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
2,18-24 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
2,18-24 years old
7,65 years or older
3,25-34 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
7,65 years or older
7,65 years or older
3,25-34 years old
4,35-44 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
7,65 years or older
4,35-44 years old
4,35-44 years old
5,45-54 years old
3,25-34 years old
2,18-24 years old
2,18-24 years old
3,25-34 years old
5,45-54 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
2,18-24 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
1,Under 18 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
6,55-64 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
1,Under 18 years old
4,35-44 years old
3,25-34 years old
1,Under 18 years old
2,18-24 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
1,Under 18 years old
5,45-54 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
2,18-24 years old
4,35-44 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
7,65 years or older
3,25-34 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
6,55-64 years old
2,18-24 years old
7,65 years or older
6,55-64 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
1,Under 18 years old
7,65 years or older
3,25-34 years old
4,35-44 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
2,18-24 years old
5,45-54 years old
3,25-34 years old
6,55-64 years old
5,45-54 years old
4,35-44 years old
5,45-54 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
1,Under 18 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
6,55-64 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
8,Prefer not to say
3,25-34 years old
3,25-34 years old
5,45-54 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
1,Under 18 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
2,18-24 years old
2,18-24 years old
6,55-64 years old
5,45-54 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
2,18-24 years old
2,18-24 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
1,Under 18 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
4,35-44 years old
2,18-24 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
2,18-24 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
1,Under 18 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
2,18-24 years old
2,18-24 years old
6,55-64 years old
4,35-44 years old
5,45-54 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
6,55-64 years old
3,25-34 years old
2,18-24 years old
5,45-54 years old
6,55-64 years old
6,55-64 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
6,55-64 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
7,65 years or older
2,18-24 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
1,Under 18 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
6,55-64 years old
4,35-44 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
6,55-64 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
1,Under 18 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
6,55-64 years old
4,35-44 years old
1,Under 18 years old
3,25-34 years old
5,45-54 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
7,65 years or older
4,35-44 years old
5,45-54 years old
4,35-44 years old
5,45-54 years old
8,Prefer not to say
3,25-34 years old
5,45-54 years old
5,45-54 years old
2,18-24 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
3,25-34 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
6,55-64 years old
5,45-54 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
6,55-64 years old
5,45-54 years old
1,Under 18 years old
5,45-54 years old
2,18-24 years old
2,18-24 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
2,18-24 years old
6,55-64 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
7,65 years or older
3,25-34 years old
3,25-34 years old
6,55-64 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
1,Under 18 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
6,55-64 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
1,Under 18 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
8,Prefer not to say
5,45-54 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
5,45-54 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
2,18-24 years old
2,18-24 years old
1,Under 18 years old
3,25-34 years old
1,Under 18 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
7,65 years or older
5,45-54 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
5,45-54 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
1,Under 18 years old
3,25-34 years old
5,45-54 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
6,55-64 years old
1,Under 18 years old
5,45-54 years old
2,18-24 years old
6,55-64 years old
4,35-44 years old
6,55-64 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
6,55-64 years old
4,35-44 years old
7,65 years or older
4,35-44 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
4,35-44 years old
6,55-64 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
4,35-44 years old
8,Prefer not to say
4,35-44 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
6,55-64 years old
4,35-44 years old
1,Under 18 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
2,18-24 years old
2,18-24 years old
4,35-44 years old
3,25-34 years old
6,55-64 years old
3,25-34 years old
4,35-44 years old
7,65 years or older
4,35-44 years old
5,45-54 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
2,18-24 years old
5,45-54 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
5,45-54 years old
5,45-54 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
5,45-54 years old
2,18-24 years old
4,35-44 years old
2,18-24 years old
7,65 years or older
2,18-24 years old
4,35-44 years old
4,35-44 years old
5,45-54 years old
2,18-24 years old
4,35-44 years old
4,35-44 years old
2,18-24 years old
2,18-24 years old
3,25-34 years old
1,Under 18 years old
4,35-44 years old
2,18-24 years old
5,45-54 years old
3,25-34 years old
3,25-34 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
2,18-24 years old
5,45-54 years old
1,Under 18 years old
3,25-34 years old
3,25-34 years old
2,18-24 years old
3,25-34 years old
2,18-24 years old
2,18-24 years old
3,25-34 years old
4,35-44 years old
1,Under 18 years old
3,25-34 years old
5,45-54 years old
4,35-44 years old
4,35-44 years old
3,25-34 years old
3,25-34 years old
6,55-64 years old
2,18-24 years old
3,25-34 years old
7,65 years or older
2,18-24 years old
4,35-44 years old
4,35-44 years old
2,18-24 years old
2,18-24 years old
